Ad_ID,Campaign_Name,Clicks,Impressions,Cost,Leads,Conversions,Conversion_Rate_Original,Sale_Amount,Ad_Date,Location,Device,Keyword,Ad_Date_Parsed,Day,Month,Weekday,Week,CR_Needs_Fix,Conversion_Rate_Fixed,CTR,CPC,Cost_Per_Lead,Lead_Conversion_Rate,Conversion_Per_Impression,Leads_Per_Click,Revenue_Per_Conversion,ROI,Cost_Per_Sale,Campaign_Name_Encoded,Location_Encoded,Device_Encoded,Keyword_Encoded
A1000,data analytics course,104.0,4498.0,231.88,14.0,7.0,0.058,1892.0,2024-11-16,hyderabad,desktop,learn data analytics,2024-11-16,16,11,5,46,False,0.0673,0.023121387283236993,2.2296153846153848,16.562857142857144,0.5,0.0015562472209871053,0.1346153846153846,270.2857142857143,7.159392789373814,0.12255813953488372,0,0,0,4
A1001,data analytics course,173.0,5107.0,216.84,10.0,8.0,0.046,1679.0,20-11-2024,hyderabad,mobile,data analytics course,2024-11-20,20,11,2,47,False,0.0462,0.033875073428627375,1.2534104046242776,21.684,0.8,0.0015664773839827687,0.057803468208092484,209.875,6.743036340158643,0.12914830256104826,0,0,1,1
A1002,data analytics course,90.0,4544.0,203.66,26.0,9.0,0.047,1624.0,2024/11/16,hyderabad,desktop,data analytics online,2024-11-16,16,11,5,46,True,0.1,0.019806338028169015,2.262888888888889,7.833076923076923,0.34615384615384615,0.0019806338028169014,0.28888888888888886,180.44444444444446,6.974074437788471,0.1254064039408867,0,0,0,2
A1003,data analytics course,142.0,3185.0,237.66,17.0,6.0,0.047,1225.0,2024-11-26,hyderabad,tablet,data analytics training,2024-11-26,26,11,1,48,True,0.0423,0.0445839874411303,1.673661971830986,13.98,0.35294117647058826,0.0018838304552590266,0.11971830985915492,204.16666666666666,4.154422283935033,0.19400816326530612,0,0,2,3
A1004,data analytics course,156.0,3361.0,195.9,30.0,8.0,0.047,1091.0,2024-11-22,hyderabad,desktop,online data analytic,2024-11-22,22,11,4,47,True,0.0513,0.046414757512645045,1.2557692307692307,6.53,0.26666666666666666,0.0023802439750074383,0.19230769230769232,136.375,4.569167942827973,0.17956003666361137,0,0,0,5
A1005,data analytics course,195.0,3776.0,243.57,10.0,8.0,0.047,1315.0,16-11-2024,hyderabad,mobile,data analytics training,2024-11-16,16,11,5,46,True,0.041,0.051641949152542374,1.249076923076923,24.357,0.8,0.00211864406779661,0.05128205128205128,164.375,4.3988586443322255,0.18522433460076046,0,0,1,3
A1006,data analytics course,116.0,4480.0,237.79,17.0,5.0,0.043,1640.0,06-11-2024,hyderabad,tablet,data analytics course,2024-06-11,11,6,1,24,False,0.0431,0.025892857142857145,2.0499137931034483,13.987647058823528,0.29411764705882354,0.0011160714285714285,0.14655172413793102,328.0,5.896841751124943,0.14499390243902438,0,0,2,1
A1007,data analytics course,184.0,5060.0,229.61,23.0,3.0,0.016,1509.0,2024/11/24,hyderabad,tablet,analytics for data,2024-11-24,24,11,6,47,False,0.0163,0.03636363636363636,1.2478804347826087,9.98304347826087,0.13043478260869565,0.0005928853754940712,0.125,503.0,5.57201341404991,0.15216037110669317,0,0,2,0
A1008,data analytics course,113.0,5434.0,214.965,27.0,4.0,0.058,1362.0,2024/11/24,hyderabad,tablet,data analytics training,2024-11-24,24,11,6,47,True,0.0354,0.020794994479205006,1.902345132743363,7.961666666666667,0.14814814814814814,0.000736105999263894,0.23893805309734514,340.5,5.335915148977741,0.15783039647577093,0,0,2,3
A1009,data analytics course,166.0,3355.0,186.78,24.0,9.0,0.054,1029.0,2024/11/12,hyderabad,mobile,online data analytic,2024-11-12,12,11,1,46,False,0.0542,0.04947839046199702,1.1251807228915662,7.7825,0.375,0.002682563338301043,0.14457831325301204,114.33333333333333,4.509155155798266,0.18151603498542274,0,0,1,5
A1010,data analytics course,101.0,5399.0,236.79,20.0,6.0,0.059,1900.0,14-11-2024,hyderabad,desktop,learn data analytics,2024-11-14,14,11,3,46,False,0.0594,0.018707167994072977,2.3444554455445545,11.8395,0.3,0.0011113169105389886,0.19801980198019803,316.6666666666667,7.023987499472106,0.12462631578947368,0,0,0,4
A1011,data analytics course,101.0,3613.0,208.12,24.0,5.0,0.05,1130.0,2024/11/22,hyderabad,desktop,online data analytic,2024-11-22,22,11,4,47,False,0.0495,0.027954608358704676,2.0605940594059406,8.671666666666667,0.20833333333333334,0.0013838915029061722,0.2376237623762376,226.0,4.4295598693061695,0.18417699115044248,0,0,0,5
A1012,data analytics course,125.0,3259.0,191.3,18.0,3.0,0.024,1959.0,2024/11/27,hyderabad,desktop,data analytics online,2024-11-27,27,11,2,48,False,0.024,0.03835532371893219,1.5304,10.627777777777778,0.16666666666666666,0.0009205277692543725,0.144,653.0,9.240460010454782,0.09765186319550792,0,0,0,2
A1013,data analytics course,196.0,3742.0,207.46,10.0,7.0,0.038,1623.0,12-11-2024,hyderabad,mobile,data analytics training,2024-12-11,11,12,2,50,False,0.0357,0.052378407268840195,1.0584693877551021,20.746000000000002,0.7,0.0018706574024585784,0.05102040816326531,231.85714285714286,6.8231948327388405,0.12782501540357363,0,0,1,3
A1014,data analytics course,181.0,4311.0,185.09,11.0,9.0,0.05,1538.0,2024-11-04,hyderabad,desktop,data analytics training,2024-11-04,4,11,0,45,False,0.0497,0.041985618186035724,1.022596685082873,16.826363636363638,0.8181818181818182,0.0020876826722338203,0.06077348066298342,170.88888888888889,7.309471068129018,0.12034460338101431,0,0,0,3
A1015,data analytics course,102.0,5461.0,201.69,22.0,8.0,0.078,1755.0,2024-11-29,hyderabad,desktop,data analytics course,2024-11-29,29,11,4,48,False,0.0784,0.01867789782091192,1.9773529411764705,9.167727272727273,0.36363636363636365,0.0014649331624244644,0.21568627450980393,219.375,7.7014725568942435,0.11492307692307692,0,0,0,1
A1016,data analytics course,193.0,5159.0,214.965,15.0,9.0,0.047,1614.0,2024-11-10,hyderabad,mobile,learn data analytics,2024-11-10,10,11,6,45,False,0.0466,0.03741035084318666,1.1138082901554405,14.331,0.6,0.001744524132583834,0.07772020725388601,179.33333333333334,6.508199009141023,0.13318773234200743,0,0,1,4
